DateTime,Temperature,Humidity,LightVal,MoistureVal
Fri_Nov_19_07-41-17_2021,11,64,413,88
Fri_Nov_19_07-42-48_2021,11,64,114,86
Fri_Nov_19_07-43-19_2021,11,63,313,86
Fri_Nov_19_07-51-10_2021,11,62,119,84
Fri_Nov_19_07-51-41_2021,11,64,249,82
Fri_Nov_19_07-56-11_2021,11,64,0,79
Fri_Nov_19_07-59-40_2021,11,64,189,80
Fri_Nov_19_08-21-15_2021,11,61,0,91
Fri_Nov_19_08-21-46_2021,11,61,172,93
Fri_Nov_19_08-23-14_2021,11,61,229,97
Fri_Nov_19_08-23-45_2021,11,61,415,100
Fri_Nov_19_08-24-11_2021,11,61,271,100
Fri_Nov_19_08-24-46_2021,11,61,192,102
Fri_Nov_19_08-37-18_2021,11,61,234,136
Fri_Nov_19_08-42-44_2021,11,62,197,145
Fri_Nov_19_08-43-08_2021,11,61,217,141
Fri_Nov_19_08-43-39_2021,11,61,209,144
Fri_Nov_19_08-45-54_2021,11,61,157,149
Fri_Nov_19_08-46-30_2021,11,61,360,147
Fri_Nov_19_08-47-08_2021,11,61,28,152
Fri_Nov_19_09-38-25_2021,11,61,114,202
Fri_Nov_19_09-38-56_2021,14,63,359,196
Fri_Nov_19_09-40-24_2021,14,64,179,201
Fri_Nov_19_09-40-54_2021,14,64,173,202
Fri_Nov_19_09-41-25_2021,14,64,11,195
Fri_Nov_19_09-41-56_2021,14,64,215,202
Fri_Nov_19_09-46-54_2021,14,64,113,202
Fri_Nov_19_09-47-24_2021,14,64,187,204
Fri_Nov_19_09-47-55_2021,14,64,149,206
Fri_Nov_19_09-48-26_2021,14,64,113,201
Fri_Nov_19_09-52-54_2021,14,64,389,207
Fri_Nov_19_09-53-24_2021,14,64,0,203
Fri_Nov_19_09-53-55_2021,14,64,179,200
Fri_Nov_19_09-54-26_2021,14,64,218,194
Fri_Nov_19_09-57-21_2021,14,64,387,207
Fri_Nov_19_09-57-52_2021,14,64,244,206
Fri_Nov_19_10-00-01_2021,14,64,191,207
Fri_Nov_19_10-04-44_2021,14,64,402,213
Fri_Nov_19_10-05-15_2021,14,63,137,206
Fri_Nov_19_10-06-43_2021,14,63,205,211
Fri_Nov_19_10-07-14_2021,14,63,288,209
Fri_Nov_19_10-07-44_2021,14,63,285,212
Fri_Nov_19_10-08-15_2021,14,62,343,212
Fri_Nov_19_10-12-13_2021,14,61,114,212
Fri_Nov_19_10-12-44_2021,14,60,0,209
Fri_Nov_19_10-13-14_2021,14,60,106,194
Fri_Nov_19_10-13-45_2021,14,60,243,211
Fri_Nov_19_10-18-43_2021,14,66,144,196
Fri_Nov_19_10-19-14_2021,12,65,242,214
Fri_Nov_19_10-19-45_2021,12,66,272,214
Fri_Nov_19_10-20-45_2021,12,66,224,213
Fri_Nov_19_10-21-45_2021,12,66,94,213
Fri_Nov_19_10-29-13_2021,12,66,230,211
Fri_Nov_19_10-29-44_2021,12,65,190,212
Fri_Nov_19_10-30-14_2021,12,67,177,214
Fri_Nov_19_10-30-45_2021,12,65,235,215
Fri_Nov_19_10-36-13_2021,12,66,192,215
Fri_Nov_19_10-36-44_2021,14,66,179,211
Fri_Nov_19_10-37-14_2021,14,66,193,215
Fri_Nov_19_10-37-45_2021,14,64,221,213
Fri_Nov_19_10-42-13_2021,14,65,405,218
Fri_Nov_19_10-42-44_2021,14,65,303,214
Fri_Nov_19_10-43-14_2021,14,65,92,215
Fri_Nov_19_10-43-45_2021,14,65,394,217
Fri_Nov_19_10-48-43_2021,14,65,186,213
Fri_Nov_19_10-49-14_2021,14,63,108,213
Fri_Nov_19_10-49-44_2021,14,65,201,215
Fri_Nov_19_10-50-15_2021,14,63,138,211
Fri_Nov_19_10-54-13_2021,14,62,387,206
Fri_Nov_19_10-54-44_2021,14,65,390,212
Fri_Nov_19_10-55-14_2021,14,65,245,213
Fri_Nov_19_10-55-45_2021,14,65,279,215
Fri_Nov_19_11-00-43_2021,17,66,397,211
Fri_Nov_19_11-01-14_2021,17,66,81,211
Fri_Nov_19_11-01-44_2021,17,67,384,214
Fri_Nov_19_11-02-15_2021,17,64,356,211
Fri_Nov_19_11-03-44_2021,17,64,0,209
Fri_Nov_19_11-04-14_2021,17,65,119,213
Fri_Nov_19_11-06-13_2021,17,65,124,213
Fri_Nov_19_11-06-44_2021,17,65,115,214
Fri_Nov_19_11-07-15_2021,17,64,106,211
Fri_Nov_19_11-07-45_2021,17,61,149,213